x,y,z
234.3570,662.770,-3.035
235.1960,662.720,-3.033
236.4540,662.626,-3.052
237.2080,662.558,-3.004
237.9320,662.473,-3.000
238.6840,662.387,-2.953
239.4850,662.335,-2.918
240.2990,662.268,-2.925
241.0840,662.207,-2.912
241.7720,662.110,-2.911
242.6080,662.051,-2.890
243.3550,662.012,-2.940
244.1310,661.982,-2.913
244.9420,661.907,-2.917
245.6940,661.847,-2.904
246.5220,661.789,-2.889
247.3000,661.757,-2.915
248.0320,661.726,-2.919
248.7510,661.692,-2.918
249.4860,661.645,-2.940
250.2180,661.634,-2.949
250.9850,661.622,-2.967
251.7770,661.606,-2.953
252.5400,661.586,-2.945
253.3760,661.566,-2.981
254.1600,661.563,-2.979
255.0660,661.584,-3.010
255.8550,661.555,-3.045
256.6200,661.553,-3.055
257.3820,661.536,-3.062
258.1390,661.560,-3.088
258.9140,661.565,-3.117
259.6620,661.570,-3.148
260.4090,661.585,-3.176
261.1420,661.602,-3.175
261.8590,661.611,-3.213
262.5930,661.615,-3.223
263.3870,661.630,-3.229
264.1760,661.648,-3.255
265.0290,661.635,-3.282
265.8080,661.636,-3.315
266.5780,661.652,-3.328
267.3470,661.670,-3.345
268.0700,661.659,-3.389
268.8000,661.666,-3.413
269.5520,661.693,-3.429
270.2710,661.726,-3.445
270.9920,661.744,-3.457
271.6700,661.745,-3.479
272.4220,661.735,-3.510
273.1830,661.741,-3.530
274.0310,661.766,-3.552
274.8250,661.776,-3.584
275.5760,661.763,-3.607
276.3360,661.765,-3.632
277.1150,661.788,-3.667
277.8780,661.826,-3.698
278.6300,661.848,-3.703
279.3620,661.859,-3.757
280.0810,661.874,-3.756
280.8080,661.891,-3.790
281.6210,661.905,-3.810
282.4250,661.940,-3.831
283.2220,661.933,-3.861
283.9860,661.945,-3.897
284.7100,661.975,-3.912
285.4400,661.988,-3.950
286.2040,661.995,-3.955
286.9670,662.022,-3.994
287.7580,662.059,-4.012
288.4900,662.075,-4.031
289.1910,662.095,-4.061
289.9500,662.079,-4.066
290.7510,662.103,-4.081
291.5720,662.116,-4.124
292.3540,662.135,-4.115
293.1000,662.155,-4.165
293.8170,662.172,-4.180
294.5720,662.193,-4.198
295.3310,662.240,-4.223
296.1000,662.250,-4.262
296.8900,662.266,-4.268
297.6800,662.287,-4.274
298.4090,662.310,-4.315
299.1780,662.317,-4.329
299.9480,662.320,-4.370
300.7270,662.349,-4.384
301.4920,662.380,-4.409
302.2280,662.381,-4.417
302.9480,662.389,-4.436
303.7000,662.387,-4.442
304.4570,662.422,-4.447
305.1930,662.438,-4.473
305.9300,662.429,-4.483
306.7170,662.428,-4.509
307.5340,662.434,-4.538
308.3200,662.432,-4.546
309.0800,662.404,-4.583
309.8580,662.434,-4.591
310.5900,662.427,-4.578
311.3180,662.415,-4.569
312.0860,662.407,-4.578
312.8530,662.417,-4.587
