x,y,z
87.03,540.08,2.68
87.84,538.28,2.71
88.61,536.90,2.72
89.42,535.57,2.71
90.65,534.04,2.65
92.29,532.43,2.45
94.00,530.97,2.15
95.87,529.71,1.86
97.87,528.64,1.76
100.36,527.81,1.64
103.43,526.82,0.99
106.43,525.98,0.60
109.57,525.60,0.45
112.85,525.43,0.28
116.07,525.29,0.04
119.07,525.23,-0.11
121.90,525.23,-0.30
124.52,525.29,-0.54
126.43,525.31,-0.80
127.58,525.29,-1.05
128.99,525.37,-1.19
130.17,525.45,-1.21
131.00,525.47,-1.15
132.10,525.55,-1.07
133.57,525.75,-1.04
135.12,525.80,-0.99
136.83,526.01,-0.97
138.46,525.86,-1.01
140.25,525.76,-1.05
142.22,525.92,-1.11
144.20,526.10,-1.13
146.41,526.31,-1.17
148.58,526.55,-1.20
150.63,526.84,-1.24
152.67,526.98,-1.26
154.67,527.00,-1.29
156.46,526.88,-1.31
158.08,526.92,-1.34
159.65,526.86,-1.38
161.26,526.70,-1.40
162.98,526.64,-1.41
164.70,526.60,-1.43
166.28,526.87,-1.49
167.70,527.15,-1.53
169.08,527.17,-1.53
170.16,527.55,-1.55
171.54,527.76,-1.57
172.89,527.72,-1.60
174.26,528.07,-1.59
175.87,528.12,-1.62
177.26,528.27,-1.64
178.86,528.58,-1.63
180.43,528.52,-1.60
181.93,528.72,-1.63
183.47,528.70,-1.64
185.05,528.56,-1.66
186.70,528.74,-1.60
188.52,528.60,-1.58
190.28,528.36,-1.59
192.18,528.26,-1.61
194.22,528.04,-1.60
196.24,528.05,-1.59
198.50,528.11,-1.57
200.62,528.28,-1.58
202.62,528.40,-1.62
204.45,528.34,-1.69
206.45,528.41,-1.72
208.17,528.22,-1.75
210.30,528.06,-1.76
212.31,527.95,-1.83
214.42,527.72,-1.85
216.58,527.70,-1.90
218.64,527.67,-1.94
220.76,527.66,-1.99
222.68,527.65,-2.05
224.78,527.64,-2.08
226.75,527.65,-2.15
228.92,527.54,-2.18
231.02,527.37,-2.24
233.24,527.30,-2.26
235.52,527.19,-2.32
237.74,527.25,-2.36
239.98,527.37,-2.44
242.17,527.36,-2.51
244.27,527.45,-2.58
246.42,527.33,-2.62
248.54,527.15,-2.68
250.67,527.02,-2.73
252.79,526.79,-2.80
254.89,526.65,-2.85
256.92,526.57,-2.93
259.04,526.51,-2.99
261.19,526.49,-3.06
263.37,526.50,-3.13
265.62,526.54,-3.21
267.92,526.52,-3.28
270.17,526.55,-3.34
272.49,526.54,-3.41
274.80,526.66,-3.48
277.02,526.80,-3.53
279.18,526.96,-3.61
281.34,527.16,-3.68
283.51,527.14,-3.75
285.75,527.19,-3.79
288.02,527.19,-3.85
290.35,527.19,-3.91
292.65,527.14,-3.99
294.93,527.05,-4.05
297.16,527.04,-4.12
299.37,526.93,-4.17
301.55,526.95,-4.23
303.74,526.86,-4.28
305.93,526.71,-4.34
308.09,526.68,-4.39
310.31,526.58,-4.44
312.55,526.54,-4.47
314.70,526.58,-4.53
317.00,526.48,-4.56
319.13,526.40,-4.64
321.40,526.33,-4.67
323.68,526.23,-4.73
325.91,526.06,-4.77
328.15,525.99,-4.83
330.37,525.88,-4.86
332.54,525.69,-4.88
334.73,525.67,-4.89
336.93,525.64,-4.93
339.10,525.64,-4.97
341.36,525.69,-4.99
343.59,525.66,-5.04
345.94,525.57,-5.04
348.25,525.59,-5.06
350.51,525.62,-5.07
352.76,525.71,-5.09
354.97,525.88,-5.11
357.16,525.83,-5.11
359.43,525.97,-5.12
361.73,526.04,-5.14
363.97,526.10,-5.18
366.32,526.22,-5.19
368.57,526.29,-5.23
370.85,526.36,-5.23
373.10,526.47,-5.27
375.37,526.63,-5.26
377.65,526.72,-5.30
379.91,526.86,-5.29
382.15,526.94,-5.33
384.23,526.98,-5.37
386.43,527.04,-5.42
388.46,527.08,-5.43
390.69,527.08,-5.42
392.94,527.11,-5.42
395.15,527.08,-5.47
397.37,527.18,-5.48
399.61,527.21,-5.50
401.72,527.26,-5.49
403.95,527.30,-5.50
406.04,527.28,-5.53
