x,y,z
81.733,576.927,2.633
82.013,575.596,2.598
82.698,573.566,2.504
84.014,571.367,2.400
85.810,569.493,2.224
88.059,568.003,2.034
90.569,567.069,1.837
92.941,566.719,1.752
95.286,566.829,1.682
97.592,567.459,1.493
99.802,568.384,1.240
102.141,569.507,0.909
104.329,570.673,0.588
106.494,571.682,0.338
108.970,572.474,0.085
112.031,573.281,-0.173
115.034,573.793,-0.497
118.048,574.270,-0.984
120.845,574.483,-1.269
125.933,575.403,-1.244
131.914,576.238,-1.061
134.531,575.937,-1.060
137.504,575.344,-1.097
139.025,574.982,-1.115
148.009,574.594,-1.051
150.534,574.410,-1.071
154.066,574.042,-0.936
158.661,573.325,-0.989
164.117,572.909,-1.178
166.526,572.817,-1.225
172.455,572.647,-1.278
175.284,572.496,-1.330
177.711,572.436,-1.390
182.163,572.156,-1.442
186.911,571.767,-1.527
189.299,571.597,-1.615
194.145,571.206,-1.689
196.466,571.248,-1.754
200.856,571.299,-1.832
203.210,571.476,-1.895
207.745,571.949,-1.938
209.960,571.925,-1.989
211.730,572.144,-2.035
214.897,572.684,-2.058
217.673,573.231,-2.070
218.905,573.566,-2.073
220.197,574.054,-2.089
222.671,574.706,-2.096
225.466,574.704,-2.107
227.112,575.138,-2.116
230.915,574.810,-2.145
232.676,574.802,-2.184
236.393,573.922,-2.231
239.466,572.521,-2.298
243.259,572.031,-2.386
245.390,571.637,-2.466
249.321,572.122,-2.545
251.013,571.973,-2.661
255.340,571.930,-2.747
257.205,571.121,-2.838
261.565,571.023,-2.938
263.455,570.404,-3.041
267.685,570.551,-3.126
271.713,571.303,-3.223
275.716,571.498,-3.334
277.688,572.221,-3.428
282.018,572.239,-3.516
284.139,572.357,-3.601
288.208,572.581,-3.694
290.104,572.361,-3.749
294.594,572.553,-3.832
296.310,571.997,-3.897
298.662,572.370,-3.980
302.630,572.136,-4.049
307.022,572.926,-4.131
309.369,572.977,-4.192
313.876,573.703,-4.259
316.116,574.039,-4.301
320.603,574.769,-4.345
322.931,575.345,-4.381
327.441,575.521,-4.417
329.640,575.809,-4.452
333.953,575.766,-4.478
336.221,575.898,-4.500
338.182,575.310,-4.512
342.454,575.309,-4.517
346.667,575.006,-4.519
348.703,574.833,-4.522
353.205,574.839,-4.537
355.069,574.725,-4.550
357.547,574.373,-4.565
361.585,574.489,-4.570
363.571,574.532,-4.568
367.997,574.159,-4.553
369.979,573.913,-4.551
374.339,573.610,-4.544
378.642,572.975,-4.553
380.756,572.910,-4.566
385.228,572.605,-4.596
387.238,572.586,-4.622
389.486,572.030,-4.656
393.946,571.898,-4.692
396.088,571.609,-4.761
400.459,571.238,-4.822
405.181,570.993,-4.872
407.380,570.316,-4.913
409.777,570.601,-4.941
414.356,570.297,-4.944
416.827,570.716,-4.947
421.015,571.024,-4.962
422.952,571.145,-4.926
425.149,571.165,-4.894
429.626,571.290,-4.894
434.059,571.169,-4.935
438.484,571.378,-4.948
440.771,571.078,-5.025
445.400,571.376,-5.095
447.443,570.941,-5.128
449.824,571.080,-5.121
456.685,571.108,-5.154
461.193,571.151,-5.165
463.562,571.280,-5.260
467.894,570.813,-5.337
470.254,571.263,-5.408
474.708,570.383,-5.470
477.179,570.634,-5.514
483.369,569.909,-5.565
485.180,569.030,-5.590
487.414,569.591,-5.628
489.516,569.869,-5.681
493.869,569.871,-5.739
